latency,duration,channel,type
1,NaN,0,boundary
8524,1,0,S  1
10043,1,0,S  2
12829,1,0,S  1
14348,1,0,S  2
17134,1,0,S  1
18654,1,0,S  2
21439,1,0,S  1
22959,1,0,S  2
25744,1,0,S  1
27264,1,0,S  2
30049,1,0,S  1
31569,1,0,S  2
34354,1,0,S  1
35874,1,0,S  2
38660,1,0,S  1
40179,1,0,S  2
42965,1,0,S  1
44484,1,0,S  2
47270,1,0,S  1
48789,1,0,S  2
51575,1,0,S  1
53094,1,0,S  2
55880,1,0,S  1
57399,1,0,S  2
60185,1,0,S  1
61704,1,0,S  2
64490,1,0,S  1
66009,1,0,S  2
68795,1,0,S  1
70315,1,0,S  2
73100,1,0,S  1
74620,1,0,S  2
77405,1,0,S  1
78925,1,0,S  2
81710,1,0,S  1
83230,1,0,S  2
86015,1,0,S  1
87535,1,0,S  2
90321,1,0,S  1
91840,1,0,S  2
94626,1,0,S  1
96145,1,0,S  2
98931,1,0,S  1
100450,1,0,S  2
103236,1,0,S  1
104755,1,0,S  2
107541,1,0,S  1
109060,1,0,S  2
111846,1,0,S  1
113365,1,0,S  2
116151,1,0,S  1
117671,1,0,S  2
120456,1,0,S  1
121976,1,0,S  2
124761,1,0,S  1
126281,1,0,S  2
129066,1,0,S  1
130586,1,0,S  2
133371,1,0,S  1
134891,1,0,S  2
137677,1,0,S  1
139196,1,0,S  2
141982,1,0,S  1
143501,1,0,S  2
146287,1,0,S  1
147806,1,0,S  2
150592,1,0,S  1
152111,1,0,S  2
154897,1,0,S  1
156416,1,0,S  2
159202,1,0,S  1
160721,1,0,S  2
163507,1,0,S  1
165026,1,0,S  2
167812,1,0,S  1
169332,1,0,S  2
172117,1,0,S  1
173637,1,0,S  2
176422,1,0,S  1
177942,1,0,S  2
