latency,duration,channel,type
1,NaN,0,boundary
15451,1,0,S  1
16970,1,0,S  2
19756,1,0,S  1
21275,1,0,S  2
24061,1,0,S  1
25581,1,0,S  2
28366,1,0,S  1
29886,1,0,S  2
32671,1,0,S  1
34191,1,0,S  2
36976,1,0,S  1
38496,1,0,S  2
41281,1,0,S  1
42801,1,0,S  2
45587,1,0,S  1
47106,1,0,S  2
49892,1,0,S  1
51411,1,0,S  2
54197,1,0,S  1
55716,1,0,S  2
58502,1,0,S  1
60021,1,0,S  2
62807,1,0,S  1
64326,1,0,S  2
67112,1,0,S  1
68631,1,0,S  2
71417,1,0,S  1
72937,1,0,S  2
75722,1,0,S  1
77242,1,0,S  2
80027,1,0,S  1
81547,1,0,S  2
84332,1,0,S  1
85852,1,0,S  2
88637,1,0,S  1
90157,1,0,S  2
92943,1,0,S  1
94462,1,0,S  2
97248,1,0,S  1
98767,1,0,S  2
101553,1,0,S  1
103072,1,0,S  2
105858,1,0,S  1
107377,1,0,S  2
110163,1,0,S  1
111682,1,0,S  2
114468,1,0,S  1
115987,1,0,S  2
118773,1,0,S  1
120292,1,0,S  2
123078,1,0,S  1
124598,1,0,S  2
127383,1,0,S  1
128903,1,0,S  2
131688,1,0,S  1
133208,1,0,S  2
135994,1,0,S  1
137513,1,0,S  2
140298,1,0,S  1
141818,1,0,S  2
144604,1,0,S  1
146123,1,0,S  2
148909,1,0,S  1
150428,1,0,S  2
153214,1,0,S  1
154733,1,0,S  2
157519,1,0,S  1
159038,1,0,S  2
161824,1,0,S  1
163343,1,0,S  2
166129,1,0,S  1
167648,1,0,S  2
170434,1,0,S  1
171954,1,0,S  2
174739,1,0,S  1
176259,1,0,S  2
179044,1,0,S  1
180564,1,0,S  2
183349,1,0,S  1
184869,1,0,S  2
