latency,duration,channel,type
1,NaN,0,boundary
7744,1,0,S  1
9263,1,0,S  2
12049,1,0,S  1
13568,1,0,S  2
16354,1,0,S  1
17873,1,0,S  2
20659,1,0,S  1
22178,1,0,S  2
24964,1,0,S  1
26483,1,0,S  2
29269,1,0,S  1
30789,1,0,S  2
33574,1,0,S  1
35094,1,0,S  2
37879,1,0,S  1
39399,1,0,S  2
42184,1,0,S  1
43704,1,0,S  2
46489,1,0,S  1
48009,1,0,S  2
50795,1,0,S  1
52314,1,0,S  2
55100,1,0,S  1
56619,1,0,S  2
59405,1,0,S  1
60924,1,0,S  2
63710,1,0,S  1
65229,1,0,S  2
68015,1,0,S  1
69534,1,0,S  2
72320,1,0,S  1
73839,1,0,S  2
76625,1,0,S  1
78145,1,0,S  2
80930,1,0,S  1
82450,1,0,S  2
85235,1,0,S  1
86755,1,0,S  2
89540,1,0,S  1
91060,1,0,S  2
93845,1,0,S  1
95365,1,0,S  2
98150,1,0,S  1
99670,1,0,S  2
102456,1,0,S  1
103975,1,0,S  2
106761,1,0,S  1
108280,1,0,S  2
111066,1,0,S  1
112585,1,0,S  2
115371,1,0,S  1
116890,1,0,S  2
119676,1,0,S  1
121195,1,0,S  2
123981,1,0,S  1
125500,1,0,S  2
128286,1,0,S  1
129806,1,0,S  2
132591,1,0,S  1
134111,1,0,S  2
136896,1,0,S  1
138416,1,0,S  2
141201,1,0,S  1
142721,1,0,S  2
145506,1,0,S  1
147026,1,0,S  2
149812,1,0,S  1
151331,1,0,S  2
154117,1,0,S  1
155636,1,0,S  2
158422,1,0,S  1
159941,1,0,S  2
162727,1,0,S  1
164246,1,0,S  2
167032,1,0,S  1
168551,1,0,S  2
171337,1,0,S  1
172856,1,0,S  2
175642,1,0,S  1
177162,1,0,S  2
