latency,duration,channel,type
1,NaN,0,boundary
44146,1,0,S  1
45666,1,0,S  2
48451,1,0,S  1
49971,1,0,S  2
52756,1,0,S  1
54276,1,0,S  2
57061,1,0,S  1
58581,1,0,S  2
61367,1,0,S  1
62886,1,0,S  2
65672,1,0,S  1
67191,1,0,S  2
69977,1,0,S  1
71496,1,0,S  2
74282,1,0,S  1
75801,1,0,S  2
78587,1,0,S  1
80106,1,0,S  2
82892,1,0,S  1
84411,1,0,S  2
87197,1,0,S  1
88717,1,0,S  2
91502,1,0,S  1
93022,1,0,S  2
95807,1,0,S  1
97327,1,0,S  2
100112,1,0,S  1
101632,1,0,S  2
104417,1,0,S  1
105937,1,0,S  2
108722,1,0,S  1
110242,1,0,S  2
113028,1,0,S  1
114547,1,0,S  2
117333,1,0,S  1
118852,1,0,S  2
121638,1,0,S  1
123157,1,0,S  2
125943,1,0,S  1
127462,1,0,S  2
130248,1,0,S  1
131767,1,0,S  2
134553,1,0,S  1
136073,1,0,S  2
138858,1,0,S  1
140378,1,0,S  2
143163,1,0,S  1
144683,1,0,S  2
147468,1,0,S  1
148988,1,0,S  2
151773,1,0,S  1
153293,1,0,S  2
156078,1,0,S  1
157598,1,0,S  2
160384,1,0,S  1
161903,1,0,S  2
164689,1,0,S  1
166208,1,0,S  2
168994,1,0,S  1
170513,1,0,S  2
173299,1,0,S  1
174818,1,0,S  2
177604,1,0,S  1
179123,1,0,S  2
181909,1,0,S  1
183428,1,0,S  2
186214,1,0,S  1
187734,1,0,S  2
190519,1,0,S  1
192039,1,0,S  2
194824,1,0,S  1
196344,1,0,S  2
199129,1,0,S  1
200649,1,0,S  2
203434,1,0,S  1
204954,1,0,S  2
207740,1,0,S  1
209259,1,0,S  2
212045,1,0,S  1
213564,1,0,S  2
