latency,duration,channel,type
1,NaN,0,boundary
11894,1,0,S  1
13413,1,0,S  2
16199,1,0,S  1
17718,1,0,S  2
20504,1,0,S  1
22023,1,0,S  2
24809,1,0,S  1
26328,1,0,S  2
29114,1,0,S  1
30634,1,0,S  2
33419,1,0,S  1
34939,1,0,S  2
37724,1,0,S  1
39244,1,0,S  2
42029,1,0,S  1
43549,1,0,S  2
46334,1,0,S  1
47854,1,0,S  2
50640,1,0,S  1
52159,1,0,S  2
54945,1,0,S  1
56464,1,0,S  2
59250,1,0,S  1
60769,1,0,S  2
63555,1,0,S  1
65074,1,0,S  2
67860,1,0,S  1
69379,1,0,S  2
72165,1,0,S  1
73684,1,0,S  2
76470,1,0,S  1
77989,1,0,S  2
80775,1,0,S  1
82295,1,0,S  2
85080,1,0,S  1
86600,1,0,S  2
89385,1,0,S  1
90905,1,0,S  2
93690,1,0,S  1
95210,1,0,S  2
97995,1,0,S  1
99515,1,0,S  2
102301,1,0,S  1
103820,1,0,S  2
106606,1,0,S  1
108125,1,0,S  2
110911,1,0,S  1
112430,1,0,S  2
115216,1,0,S  1
116735,1,0,S  2
119521,1,0,S  1
121040,1,0,S  2
123826,1,0,S  1
125345,1,0,S  2
128131,1,0,S  1
129651,1,0,S  2
132436,1,0,S  1
133956,1,0,S  2
136741,1,0,S  1
138261,1,0,S  2
141046,1,0,S  1
142566,1,0,S  2
145351,1,0,S  1
146871,1,0,S  2
149657,1,0,S  1
151176,1,0,S  2
153962,1,0,S  1
155481,1,0,S  2
158267,1,0,S  1
159786,1,0,S  2
162572,1,0,S  1
164091,1,0,S  2
166877,1,0,S  1
168396,1,0,S  2
171182,1,0,S  1
172701,1,0,S  2
175487,1,0,S  1
177006,1,0,S  2
179792,1,0,S  1
181312,1,0,S  2
