latency,duration,channel,type
1,NaN,0,boundary
10636,1,0,S  1
12156,1,0,S  2
14941,1,0,S  1
16461,1,0,S  2
19246,1,0,S  1
20766,1,0,S  2
23552,1,0,S  1
25071,1,0,S  2
27857,1,0,S  1
29376,1,0,S  2
32162,1,0,S  1
33681,1,0,S  2
36467,1,0,S  1
37986,1,0,S  2
40772,1,0,S  1
42291,1,0,S  2
45077,1,0,S  1
46596,1,0,S  2
49382,1,0,S  1
50901,1,0,S  2
53687,1,0,S  1
55207,1,0,S  2
57992,1,0,S  1
59512,1,0,S  2
62297,1,0,S  1
63817,1,0,S  2
66602,1,0,S  1
68122,1,0,S  2
70907,1,0,S  1
72427,1,0,S  2
75213,1,0,S  1
76732,1,0,S  2
79518,1,0,S  1
81037,1,0,S  2
83823,1,0,S  1
85342,1,0,S  2
88128,1,0,S  1
89647,1,0,S  2
92433,1,0,S  1
93952,1,0,S  2
96738,1,0,S  1
98257,1,0,S  2
101043,1,0,S  1
102563,1,0,S  2
105348,1,0,S  1
106868,1,0,S  2
109653,1,0,S  1
111173,1,0,S  2
113958,1,0,S  1
115478,1,0,S  2
118263,1,0,S  1
119783,1,0,S  2
122569,1,0,S  1
124088,1,0,S  2
126874,1,0,S  1
128393,1,0,S  2
131179,1,0,S  1
132698,1,0,S  2
135484,1,0,S  1
137003,1,0,S  2
139789,1,0,S  1
141308,1,0,S  2
144094,1,0,S  1
145613,1,0,S  2
148399,1,0,S  1
149918,1,0,S  2
152704,1,0,S  1
154224,1,0,S  2
157009,1,0,S  1
158529,1,0,S  2
161314,1,0,S  1
162834,1,0,S  2
165619,1,0,S  1
167139,1,0,S  2
169924,1,0,S  1
171444,1,0,S  2
174230,1,0,S  1
175749,1,0,S  2
178535,1,0,S  1
180054,1,0,S  2
