latency,duration,channel,type
1,NaN,0,boundary
11175,1,0,S  1
12695,1,0,S  2
15480,1,0,S  1
17000,1,0,S  2
19785,1,0,S  1
21305,1,0,S  2
24091,1,0,S  1
25610,1,0,S  2
28396,1,0,S  1
29915,1,0,S  2
32701,1,0,S  1
34220,1,0,S  2
37006,1,0,S  1
38525,1,0,S  2
41311,1,0,S  1
42830,1,0,S  2
45616,1,0,S  1
47135,1,0,S  2
49921,1,0,S  1
51441,1,0,S  2
54226,1,0,S  1
55746,1,0,S  2
58531,1,0,S  1
60051,1,0,S  2
62836,1,0,S  1
64356,1,0,S  2
67141,1,0,S  1
68661,1,0,S  2
71447,1,0,S  1
72966,1,0,S  2
75752,1,0,S  1
77271,1,0,S  2
80057,1,0,S  1
81576,1,0,S  2
84362,1,0,S  1
85881,1,0,S  2
88667,1,0,S  1
90186,1,0,S  2
92972,1,0,S  1
94491,1,0,S  2
97277,1,0,S  1
98796,1,0,S  2
101582,1,0,S  1
103102,1,0,S  2
105887,1,0,S  1
107407,1,0,S  2
110192,1,0,S  1
111712,1,0,S  2
114497,1,0,S  1
116017,1,0,S  2
118803,1,0,S  1
120322,1,0,S  2
123108,1,0,S  1
124627,1,0,S  2
127413,1,0,S  1
128932,1,0,S  2
131718,1,0,S  1
133237,1,0,S  2
136023,1,0,S  1
137542,1,0,S  2
140328,1,0,S  1
141847,1,0,S  2
144633,1,0,S  1
146152,1,0,S  2
148938,1,0,S  1
150458,1,0,S  2
153243,1,0,S  1
154763,1,0,S  2
157548,1,0,S  1
159068,1,0,S  2
161853,1,0,S  1
163373,1,0,S  2
166158,1,0,S  1
167678,1,0,S  2
170464,1,0,S  1
171983,1,0,S  2
174769,1,0,S  1
176288,1,0,S  2
179074,1,0,S  1
180593,1,0,S  2
